shpfile_id,grid_df_id
0,4114
0,3971
0,4115
0,3972
0,4116
0,4260
1,4257
1,4401
1,4258
1,4402
1,4259
1,4403
1,4547
1,4404
1,4548
1,4692
2,5993
2,6137
2,5994
2,6138
2,6139
2,6140
2,6284
3,6449
3,5874
3,6450
3,5875
3,6019
4,5659
4,5516
4,5660
4,5804
4,5229
4,5373
4,5517
4,5661
4,5518
4,5662
4,5519
4,5663
5,7564
6,4315
7,7726
7,7727
7,7584
7,7728
7,7585
7,7442
7,7586
8,3217
8,3361
8,3218
9,5605
10,5612
11,6178
12,6238
13,6033
14,4323
15,6237
16,8646
16,9078
16,8647
16,9079
16,8360
16,8648
16,8792
16,8936
16,9080
16,8505
16,8649
16,8793
16,8937
16,9081
16,9225
16,8506
16,8650
16,8794
16,8938
16,9082
16,8651
16,8795
16,8939
16,9083
16,8652
16,8796
16,8940
16,9084
16,8653
16,8797
16,8941
16,9085
16,8654
16,8798
16,8942
16,9086
16,8655
16,8799
16,8943
16,9087
16,8371
16,7510
16,7654
16,7223
16,7367
16,7511
16,7655
16,7799
16,7943
16,7224
16,7368
16,7512
16,7656
16,7800
16,7944
16,7081
16,7225
16,7369
16,7513
16,7657
16,7801
16,7945
16,7082
16,7226
16,7370
16,7514
16,7658
16,7802
16,7946
16,7083
16,7227
16,7371
16,7515
16,7659
16,7803
16,7947
16,7084
16,7228
16,7372
16,7516
16,7660
16,7804
16,7948
16,7085
16,7229
16,7373
16,7517
16,7661
16,7805
16,7949
16,6942
16,7086
16,7230
16,7374
16,7518
16,7662
16,7806
16,7950
16,6943
16,7087
16,7231
16,7375
16,7519
16,7663
16,7807
16,7951
16,6800
16,6944
16,7088
16,7232
16,7376
16,7520
16,7664
16,7808
16,7952
16,6801
16,6945
16,7089
16,7233
16,7377
16,7521
16,7665
16,7809
16,7953
16,6946
16,7090
16,7234
16,7378
16,7522
16,7666
16,7810
16,6947
16,7091
16,7235
16,7379
16,7523
16,7667
16,7811
16,6948
16,7092
16,7236
16,7380
16,7524
16,7668
16,7812
16,6949
16,7093
16,7237
16,7381
16,7525
16,7669
16,7813
16,6950
16,7094
16,7238
16,7382
16,7526
16,7670
16,6663
16,6807
16,7095
16,7239
16,7383
16,7527
16,7240
16,7384
16,7528
16,7241
16,7529
16,7673
16,7530
16,7674
16,7675
16,7820
17,2073
18,4852
19,4532
20,3764
21,6238
22,2208
23,6231
24,6958
25,6238
26,6379
27,6095
28,7991
29,7990
30,8278
31,8422
31,8135
31,8279
31,8136
32,6573
33,8001
33,8145
33,8002
33,8146
33,8003
33,8147
33,8004
33,8148
33,7861
33,8005
33,8149
33,8006
33,8007
34,5268
34,5412
34,5269
34,5413
35,7438
35,7582
35,7439
35,7583
35,7296
35,7440
35,7297
35,7441
36,7427
36,7571
36,7428
36,7285
36,7429
36,7573
36,7286
36,7430
36,7574
36,7431
36,7432
36,7576
36,7433
37,7131
37,7275
38,5807
39,3890
40,5544
40,5688
41,4730
42,5727
42,6303
42,5584
42,6016
42,6160
42,6161
43,4836
43,4980
43,5124
43,4693
43,4837
43,4981
43,5125
43,4550
43,4694
43,4838
43,4982
43,4551
43,4695
43,4839
44,7443
44,7444
45,6600
46,7142
46,7143
46,7287
46,7288
47,7850
47,7851
48,8572
48,8429
48,8573
48,8717
48,8861
48,8574
48,8718
48,8862
48,9006
48,8863
48,9007
48,9008
48,9152
49,3684
50,5377
51,5698
51,5555
51,5699
51,5556
51,5700
51,5557
51,5701
52,5697
52,5841
52,5985
52,5842
52,5986
52,6130
52,6274
52,6418
52,5843
52,5987
52,6131
52,6275
52,6419
52,5844
52,5988
52,6132
52,6276
52,6420
52,5845
52,5989
52,6133
52,6277
52,6421
52,5990
52,6134
52,6278
52,6422
53,5576
54,7413
54,7557
54,7414
54,7558
54,7415
54,7559
54,7560
55,7323
56,3247
56,3391
56,3248
56,3392
56,3536
56,3249
56,3393
56,3537
56,3681
56,3394
56,3538
56,3682
56,3395
56,3683
56,3827
56,3540
56,3828
57,5272
57,5273
57,5417
57,5418
57,5562
57,5563
57,5707
58,5706
58,5851
59,4743
60,7999
60,8000
61,7853
62,5297
63,5683
64,4990
65,7712
66,5969
66,6113
66,5970
67,6854
67,6567
67,6711
67,6855
67,6999
67,6280
67,6424
67,6568
67,6712
67,6856
67,7000
67,6281
67,6425
67,6569
67,6713
67,6857
67,6282
67,6426
67,6570
67,6714
67,6858
67,6283
67,6427
67,6571
67,6715
67,6428
67,6572
67,6429
68,5258
69,7708
70,4323
71,5951
72,5951
73,6094
74,5123
75,8928
75,9216
75,8929
75,8930
75,8931
75,8435
75,8579
75,9155
75,8436
75,8580
75,8724
75,8868
75,9012
75,9156
75,8293
75,8437
75,8581
75,8725
75,8869
75,9013
75,9157
75,8150
75,8294
75,8438
75,8582
75,8726
75,8870
75,9158
75,7863
75,8151
75,8295
75,8439
75,8583
75,8727
75,8871
75,9015
75,7720
75,7864
75,8008
75,8152
75,8296
75,8440
75,8584
75,8728
75,8872
75,7721
75,7865
75,8009
75,8153
75,8297
75,8441
75,8585
75,8729
75,8873
75,7722
75,7866
75,8010
75,8154
75,8298
75,8442
75,8586
75,8730
75,8874
75,9018
75,7867
75,8155
75,8299
75,8443
75,8587
75,8731
75,8875
75,9019
75,9163
75,8300
75,8444
75,8588
75,8732
75,8876
75,9020
75,8157
75,8301
75,8445
75,8589
75,8733
75,8877
75,9021
75,9165
75,9309
75,8158
75,8302
75,8446
75,8590
75,8734
75,8878
75,9022
75,9454
75,9886
75,8159
75,8303
75,8447
75,8591
75,8735
75,8879
75,9023
75,9167
75,8160
75,8448
75,8592
75,8736
75,8880
75,9024
75,9168
75,9600
75,8449
75,8593
75,8737
75,8881
75,9025
75,9169
75,9601
75,8450
75,8594
75,8738
75,8882
75,9026
75,9170
75,9602
75,8451
75,8595
75,8739
75,8883
75,9027
75,9315
75,8452
75,8596
75,8740
75,8884
75,9028
75,9172
75,9316
75,8309
75,8453
75,8597
75,8741
75,8885
75,9029
75,9317
75,8454
75,8598
75,8742
75,8886
75,9030
75,9174
75,8311
75,8455
75,8599
75,8743
75,8887
75,9031
75,9175
75,9319
75,8168
75,8312
75,8456
75,8600
75,8744
75,8888
75,9032
75,9176
75,9320
75,8169
75,8313
75,8457
75,8601
75,8745
75,8889
75,9033
75,9177
75,9321
75,8170
75,8314
75,8458
75,8602
75,8746
75,8890
75,9034
75,9178
75,9322
75,9466
75,8171
75,8315
75,8459
75,8603
75,8747
75,8891
75,9035
75,9179
75,9323
75,9467
75,8172
75,8316
75,8460
75,8604
75,8748
75,8892
75,9036
75,9180
75,9324
75,9468
75,8173
75,8317
75,8461
75,8605
75,8749
75,8893
75,9037
75,9181
75,9325
75,9469
75,8174
75,8318
75,8462
75,8606
75,8750
75,8894
75,9038
75,9182
75,9326
75,9470
75,9614
75,8319
75,8463
75,8607
75,8751
75,8895
75,9039
75,9183
75,9327
75,9471
75,8320
75,8464
75,8608
75,8752
75,8896
75,9040
75,9184
75,9328
75,9472
75,9616
75,9760
75,8177
75,8321
75,8465
75,8609
75,8753
75,8897
75,9041
75,9185
75,9329
75,9473
75,9617
75,9761
75,8178
75,8322
75,8466
75,8610
75,8754
75,8898
75,9042
75,9186
75,9330
75,9474
75,9618
75,8179
75,8323
75,8467
75,8611
75,8755
75,8899
75,9043
75,9187
75,9331
75,9619
