,word,place_name,n_articles,true_match,ambiguous,place_name_correct,shp_id_correct
116,Baltic Sea,Baltic Sea,62,TRUE,,,
117,africa,Africa,62,TRUE,,,
118,Paris,Paris,61,TRUE,,,
119,italy,Louisa,61,FALSE,,Italy,137
120,Belgium,Kingdom of Belgium,59,TRUE,,,
121,Newfoundland,Newfoundland and Labrador,59,TRUE,,,
122,New England,New England,58,TRUE,,,
123,Angola,Republic of Angola,58,TRUE,,,
124,Offshore Wind Farms,Beatrice Offshore Wind Farm,57,FALSE,,NA,
125,hawaii,Hawaii,56,TRUE,,,
126,New York City,New York City,56,TRUE,,,
127,Saudi Arabia,Kingdom of Saudi Arabia,56,TRUE,,,
128,East Coast,East Coast Believers Church,55,FALSE,TRUE,NA,
129,Britain,United Kingdom of Great Britain and Northern Ireland,55,TRUE,,,
130,south korea,Republic of Korea,55,TRUE,,,
131,korea,Republic of Korea,55,TRUE,,,
132,Guangdong,Guangdong Sheng,55,TRUE,,,
133,Gulf Stream,Gulf Stream,54,TRUE,,,
134,Colombia,Puerto Colombia,54,FALSE,,republic†of†colombia,194
135,Great Britain,United Kingdom of Great Britain and Northern Ireland,53,TRUE,,,
136,north carolina,North Carolina,53,FALSE,,North†Carolina,2322
137,East Coast,Gisborne,52,TRUE,,,
138,Finland,Republic of Finland,52,TRUE,,,
139,Nysted,Nysted Havm√∏llepark,52,TRUE,,,
140,Rhode Island,Rhode Island,52,TRUE,,,
141,Egypt,Arab Republic of Egypt,51,TRUE,,,
142,Chesapeake Bay,"Hyatt Regency Chesapeake Bay Golf Resort, Spa and Marina",51,FALSE,,NA,
143,Shanghai,Shanghai,51,TRUE,,,
144,sweden,Kingdom of Sweden,50,TRUE,,,
145,persian gulf,Persian Gulf,50,TRUE,,,
146,washington,Washington,49,TRUE,,,
147,texas,Texas,49,TRUE,,,
148,Indian Ocean,British Indian Ocean Territory,48,TRUE,,,
149,Sri Lanka,Democratic Socialist Republic of Sri Lanka,48,TRUE,,,
150,Fiji,Republic of Fiji,48,TRUE,,,
151,Pacific Island,Ghai Island,48,FALSE,TRUE,NA,
152,Tasmania,State of Tasmania,48,TRUE,,,
153,new york,New York,47,TRUE,,,
154,UAE,United Arab Emirates,47,TRUE,,,
155,Great Lakes,Lakes Entrance Airfield,46,FALSE,,Great Lakes,5678
156,Ghana,Republic of Ghana,46,TRUE,,,
157,Brittany,Bretagne,45,TRUE,,,
158,gulf coast,Mississippi Gulf Coast Community College - Perkinston Campus,45,FALSE,,gulf†of†mexico,5901
159,thailand,Kingdom of Thailand,45,TRUE,,,
160,Cape Cod,Cape Cod Regional Technical High School Library,45,FALSE,,NA,
161,Puget Sound,Veterans Administration Puget Sound Health Care System Emergency Medical Services,45,FALSE,,NA,
162,Qatar,State of Qatar,45,TRUE,,,
163,belgium,Kingdom of Belgium,45,TRUE,,,
164,New Orleans,New Orleans,44,TRUE,,,
165,U.S.A.,United States,44,TRUE,,,
166,middle east,Middle East,44,TRUE,,,
167,A. marina,Monumento √° mari√±a universal,44,FALSE,,NA,
168,Maldives,Republic of Maldives,43,TRUE,,,
169,Antarctic,Territory of the French Southern and Antarctic Lands,43,FALSE,,Antarctica,239
170,Northern Europe,Northern Europe,43,TRUE,,,
171,Sarawak,Sarawak,43,TRUE,,,
172,British Columbia,British Columbia,43,TRUE,,,
173,arabian sea,Arabian Sea,43,TRUE,,,
174,Iran,Islamic Republic of Iran,43,TRUE,,,
175,Arabian Gulf,Persian Gulf,42,TRUE,,,
176,new england,New England,42,TRUE,,,
177,Aberdeen,Aberdeen City,42,TRUE,,,
178,Peninsular Malaysia,Peninsular Malaysia,42,TRUE,,,
179,Nantucket Sound,Nantucket Sound,42,TRUE,,,
180,Abu Dhabi,Abu Dhabi Municipality,42,TRUE,,,
181,WT,[He≈ômanice-Kristi√°nov] WT-1,42,FALSE,,NA,
182,Chile,Republic of Chile,41,TRUE,,,
183,Gujarat,State of GujarƒÅt,41,TRUE,,,
184,mississippi,Mississippi,41,TRUE,,,
185,far east,Far East,41,TRUE,,,
186,vietnam,Socialist Republic of Vietnam,41,TRUE,,,
187,Israel,State of Israel,40,TRUE,,,
188,South America,South America,40,TRUE,,,
189,Maryland,Maryland,39,TRUE,,,
190,Cornwall,Cornwall,39,TRUE,,,
191,ireland,Ireland,39,TRUE,,,
192,south africa,Republic of South Africa,39,TRUE,,,
193,Kenya,Republic of Kenya,39,TRUE,,,
194,BC,British Columbia,39,TRUE,,,
195,saudi arabia,Kingdom of Saudi Arabia,39,TRUE,,,
196,Alabama,Alabama,38,TRUE,,,
197,TN,Howard Johnson Gatlinburg Tn,38,TRUE,,,
198,Bali,Bali,37,TRUE,,,
199,NC,Salikipara NC,37,FALSE,TRUE,NA,
200,TX,Ramada Limited Weatherford Tx,37,FALSE,TRUE,NA,
201,saltmarshes,Edvin Loach and Saltmarshe,37,FALSE,,NA,
202,west africa,Republic of Angola,36,FALSE,,Benin; Burkina Faso; Cape Verde; Gambia; Ghana; Guinea; Guinea-Bissau; Liberia; Mali; Mauritania; Niger; Nigeria; Senegal; Sierra Leone; Togo; Saint Helena,215; 207; 201; 158; 155; 151; 150; 123; 113; 111; 91; 90; 66; 63; 40; 19
203,Papua New Guinea,Independent State of Papua New Guinea,36,TRUE,,,
204,sri lanka,Democratic Socialist Republic of Sri Lanka,36,TRUE,,,
205,east coast,Gisborne,35,FALSE,TRUE,NA,
206,Campos Basin,Great Basin College Battle Mountain Branch Campus,35,FALSE,,Campos†Sert„o,5325
207,Southern California,Southern California,35,TRUE,,,
208,Sydney,Sydney,35,TRUE,,,
209,alderney,Alderney,35,TRUE,,,
210,Tanzania,United Republic of Tanzania,35,TRUE,,,
211,atlantic coast,Carlton Atlantic Coast,35,FALSE,TRUE,Atlantic Ocean,
212,maine,Maine,35,TRUE,,,
