LAT,LON,grid_df_id,area_km,is_land
-88.75,-178.75,0,1685.6540146695665,False
-88.75,-176.25,1,1685.6540146695665,False
-88.75,-173.75,2,1685.6540146695665,False
-88.75,-171.25,3,1685.654014669584,False
-88.75,-168.75,4,1685.6540146695665,False
-88.75,-166.25,5,1685.6540146695665,False
-88.75,-163.75,6,1685.6540146695665,False
-88.75,-161.25,7,1685.6540146695665,False
-88.75,-158.75,8,1685.6540146695665,False
-88.75,-156.25,9,1685.6540146695665,False
-88.75,-153.75,10,1685.6540146695665,False
-88.75,-151.25,11,1685.654014669584,False
-88.75,-148.75,12,1685.6540146695665,False
-88.75,-146.25,13,1685.6540146695665,False
-88.75,-143.75,14,1685.6540146695665,False
-88.75,-141.25,15,1685.6540146695665,False
-88.75,-138.75,16,1685.6540146695665,False
-88.75,-136.25,17,1685.6540146695665,False
-88.75,-133.75,18,1685.6540146695665,False
-88.75,-131.25,19,1685.6540146695665,False
-88.75,-128.75,20,1685.6540146695665,False
-88.75,-126.25,21,1685.6540146695665,False
-88.75,-123.75,22,1685.6540146695665,False
-88.75,-121.25,23,1685.6540146695665,False
-88.75,-118.75,24,1685.6540146695665,False
-88.75,-116.25,25,1685.654014669601,False
-88.75,-113.75,26,1685.6540146695665,False
-88.75,-111.25,27,1685.6540146695665,False
-88.75,-108.75,28,1685.6540146695665,False
-88.75,-106.25,29,1685.6540146695665,False
-88.75,-103.75,30,1685.6540146695665,False
-88.75,-101.25,31,1685.6540146695665,False
-88.75,-98.75,32,1685.6540146695665,False
-88.75,-96.25,33,1685.6540146695665,False
-88.75,-93.75,34,1685.6540146695665,False
-88.75,-91.25,35,1685.6540146695665,False
-88.75,-88.75,36,1685.6540146695665,False
-88.75,-86.25,37,1685.6540146695665,False
-88.75,-83.75,38,1685.6540146695665,False
-88.75,-81.25,39,1685.6540146695665,False
-88.75,-78.75,40,1685.6540146695665,False
-88.75,-76.25,41,1685.6540146695665,False
-88.75,-73.75,42,1685.654014669601,False
-88.75,-71.25,43,1685.6540146695665,False
-88.75,-68.75,44,1685.6540146695665,False
-88.75,-66.25,45,1685.6540146695665,False
-88.75,-63.75,46,1685.6540146695665,False
-88.75,-61.25,47,1685.6540146695665,False
-88.75,-58.75,48,1685.6540146695665,False
-88.75,-56.25,49,1685.6540146695665,False
-88.75,-53.75,50,1685.6540146695665,False
-88.75,-51.25,51,1685.6540146695665,False
-88.75,-48.75,52,1685.6540146695665,False
-88.75,-46.25,53,1685.6540146695665,False
-88.75,-43.75,54,1685.6540146695665,False
-88.75,-41.25,55,1685.6540146695665,False
-88.75,-38.75,56,1685.6540146695665,False
-88.75,-36.25,57,1685.6540146695665,False
-88.75,-33.75,58,1685.6540146695665,False
-88.75,-31.25,59,1685.6540146695665,False
-88.75,-28.75,60,1685.654014669601,False
-88.75,-26.25,61,1685.6540146695665,False
-88.75,-23.75,62,1685.6540146695665,False
-88.75,-21.25,63,1685.6540146695665,False
-88.75,-18.75,64,1685.6540146695665,False
-88.75,-16.25,65,1685.6540146695665,False
-88.75,-13.75,66,1685.6540146695665,False
-88.75,-11.25,67,1685.6540146695665,False
-88.75,-8.75,68,1685.6540146695665,False
-88.75,-6.25,69,1685.6540146695665,False
-88.75,-3.75,70,1685.6540146695665,False
-88.75,-1.25,71,1685.6540146695665,False
-88.75,1.25,72,1685.6540146695686,False
-88.75,3.75,73,1685.6540146695686,False
-88.75,6.25,74,1685.6540146695684,False
-88.75,8.75,75,1685.6540146695688,False
-88.75,11.25,76,1685.6540146695688,False
-88.75,13.75,77,1685.6540146695677,False
-88.75,16.25,78,1685.6540146695688,False
-88.75,18.75,79,1685.6540146695688,False
-88.75,21.25,80,1685.6540146695688,False
-88.75,23.75,81,1685.6540146695688,False
-88.75,26.25,82,1685.6540146695688,False
-88.75,28.75,83,1685.6540146695665,False
-88.75,31.25,84,1685.654014669571,False
-88.75,33.75,85,1685.6540146695665,False
-88.75,36.25,86,1685.654014669571,False
-88.75,38.75,87,1685.6540146695665,False
-88.75,41.25,88,1685.654014669571,False
-88.75,43.75,89,1685.6540146695665,False
-88.75,46.25,90,1685.654014669571,False
-88.75,48.75,91,1685.6540146695665,False
-88.75,51.25,92,1685.654014669571,False
-88.75,53.75,93,1685.6540146695665,False
-88.75,56.25,94,1685.6540146695665,False
-88.75,58.75,95,1685.6540146695665,False
-88.75,61.25,96,1685.6540146695754,False
-88.75,63.75,97,1685.6540146695665,False
-88.75,66.25,98,1685.6540146695665,False
-88.75,68.75,99,1685.6540146695665,False
-88.75,71.25,100,1685.6540146695754,False
-88.75,73.75,101,1685.6540146695665,False
-88.75,76.25,102,1685.6540146695665,False
-88.75,78.75,103,1685.6540146695665,False
-88.75,81.25,104,1685.6540146695665,False
-88.75,83.75,105,1685.6540146695754,False
-88.75,86.25,106,1685.6540146695665,False
-88.75,88.75,107,1685.6540146695665,False
-88.75,91.25,108,1685.6540146695665,False
-88.75,93.75,109,1685.6540146695754,False
-88.75,96.25,110,1685.6540146695665,False
-88.75,98.75,111,1685.6540146695665,False
-88.75,101.25,112,1685.6540146695665,False
-88.75,103.75,113,1685.6540146695754,False
-88.75,106.25,114,1685.6540146695665,False
-88.75,108.75,115,1685.6540146695665,False
-88.75,111.25,116,1685.6540146695665,False
-88.75,113.75,117,1685.6540146695665,False
-88.75,116.25,118,1685.6540146695665,False
-88.75,118.75,119,1685.6540146695665,False
-88.75,121.25,120,1685.654014669584,False
-88.75,123.75,121,1685.6540146695665,False
-88.75,126.25,122,1685.6540146695665,False
