country,Coefficient,Value,Std.Error,t-value,p-value,iso_code
Trinidad & Tobago,Year,0.020466114,0.009639153,2.123227407,0.05521686,TTO
Ecuador,Year,0.018752801,0.223513783,0.083899975,0.937167128,ECU
Monaco,Year,0.017479813,0.028386151,0.615786673,0.553287372,MCO
Venezuela,Year,0.015823697,0.020036494,0.78974382,0.512438351,VEN
Panama,Year,0.01330931,0.017910881,0.743085187,0.485496563,PAN
Mauritius,Year,0.012063071,0.011457998,1.052807871,0.351823407,MUS
Latvia,Year,0.007836527,0.013237241,0.592006077,0.566989511,LVA
Brunei,Year,0.007712958,0.018040631,0.427532642,0.680266643,BRN
Guam,Year,0.005310927,0.013381104,0.396897508,0.729790764,GUM
Puerto Rico,Year,0.002511403,0.013882301,0.180906807,0.860449038,PRI
Bahrain,Year,0.0020941,0.01902061,0.110096378,0.917635571,BHR
Barbados,Year,0.000709348,0.011336564,0.062571693,0.952531897,BRB
Angola,Year,-0.007110384,0.022418709,-0.317162963,0.763935831,AGO
Uruguay,Year,-0.008743684,0.071608376,-0.12210421,0.906803493,URY
Sweden,Year,-0.022824428,0.060679252,-0.3761488,0.70974583,SWE
Belgium,Year,-0.033218851,0.045054136,-0.737309693,0.468081684,BEL
Bahamas,Year,-0.12245866,0.17154055,-0.713875875,0.54937132,BHS
Papua New Guinea,Year,-0.198042163,0.171509169,-1.154703065,0.454370362,PNG
Iraq,Year,-0.272550327,0.130488202,-2.088697081,0.127935871,IRQ
